# Partial CW Tu sweep (completed cases only)
# Analyzed: 2026-08-18 10:08
# Method: phasor Z on last 50%% of V/I; +to- Im{Z} crossing
# complete=66 running=0 pending=0 incomplete=0 / 66
Sd	Freq_Hz	Re_Z	Im_Z
0	1500000	2130.033074	584.898398
0	1600000	30921.301729	10098.310888
0	1700000	39480.237364	10495.082744
0	1750000	45684.039359	9509.867227
0	1800000	53183.020318	6561.761574
0	1850000	62774.793753	-639.680931
0	1900000	71063.868963	-14684.596061
0	2000000	54405.526234	-54919.897299
0	2100000	21732.423679	-55532.818470
0	2200000	10370.481933	-41899.087248
0	2300000	5665.964788	-36046.916826
2	1500000	15227.066017	-9181.384696
2	1600000	16034.549456	-6349.915426
2	1700000	21155.884098	-3386.276367
2	1750000	26342.385695	-2941.163685
2	1800000	33309.971260	-5537.726107
2	1850000	40250.660467	-13043.617928
2	1900000	41188.778122	-25784.444188
2	2000000	21483.836819	-40907.351296
2	2100000	8517.710588	-36086.568206
2	2200000	4601.556531	-28714.426952
2	2300000	2671.216033	-25874.581049
4	1500000	8258.681563	-16842.656860
4	1600000	9742.758118	-14125.035562
4	1700000	13635.204686	-11925.121537
4	1750000	16630.022299	-11834.214502
4	1800000	20203.867059	-14523.173416
4	1850000	23374.021508	-19212.027286
4	1900000	22804.139996	-25940.994248
4	2000000	10566.254485	-30828.280552
4	2100000	3909.508311	-27961.067800
4	2200000	2614.711786	-23235.756464
4	2300000	1372.329254	-21651.008683
6	1500000	5848.846836	-20906.147486
6	1600000	7031.754957	-18309.987224
6	1700000	9870.004938	-16555.189834
6	1750000	11757.456941	-16539.413908
6	1800000	12882.720013	-18551.511284
6	1850000	14421.388353	-21425.958491
6	1900000	13481.576016	-24891.040434
6	2000000	5864.390210	-26165.683929
6	2100000	2078.538793	-24069.735553
6	2200000	1672.396932	-20670.212558
6	2300000	831.695058	-19685.015645
8	1500000	4619.834014	-23206.388575
8	1600000	5428.872854	-20610.035996
8	1700000	7647.016851	-19205.496589
8	1750000	8857.595964	-19281.676853
8	1800000	8553.120618	-20510.692170
8	1850000	9217.545969	-22274.633454
8	1900000	8371.838557	-23877.835292
8	2000000	3499.252472	-23583.816827
8	2100000	1123.948818	-21994.765098
8	2200000	1194.383183	-19279.482345
8	2300000	546.657498	-18604.636048
10	1500000	3896.172230	-24512.893329
10	1600000	4488.790697	-22071.087572
10	1700000	6181.891586	-20959.388354
10	1750000	6814.541459	-21015.636957
10	1800000	5735.080501	-21456.050679
10	1850000	5999.687739	-22404.410460
10	1900000	5490.113189	-23019.625459
10	2000000	2237.742694	-22032.275819
10	2100000	592.668932	-20789.002879
10	2200000	924.027492	-18466.837845
10	2300000	383.686164	-17965.454304
