# Low-f + high-band CW for Sd=0,2,10
# Analyzed: 2026-09-04 08:56
# Method: phasor Z on last 50% of V/I
Sd	Freq_Hz	Re_Z	Im_Z	Abs_Z
0	500000	20297.817717	6219.569091	21229.329800
0	600000	17407.608709	8471.771560	19359.642412
0	700000	17634.687918	9726.765191	20139.319230
0	800000	20000.394271	8249.222230	21634.820045
0	900000	19851.766570	4852.949264	20436.334126
0	1000000	19340.424477	3799.487937	19710.102169
0	1100000	19008.025989	4025.530042	19429.615131
0	1200000	19630.312045	4980.653770	20252.310065
0	1300000	20472.327241	6146.821455	21375.209862
0	1400000	22795.336118	7343.052161	23948.857254
0	1500000	2130.033074	584.898398	2208.879135
0	1600000	30921.301729	10098.310888	32528.491871
0	1700000	39480.237364	10495.082744	40851.388032
0	1750000	45684.039359	9509.867227	46663.358504
0	1800000	53183.020318	6561.761574	53586.288966
0	1850000	62774.793753	-639.680931	62778.052872
0	1900000	71063.868963	-14684.596061	72565.217794
0	2000000	54405.526234	-54919.897299	77305.603963
0	2100000	21732.423679	-55532.818470	59633.817303
0	2200000	10370.481933	-41899.087248	43163.415154
0	2300000	5665.964788	-36046.916826	36489.496703
2	500000	49711.322905	-18429.786127	53017.663487
2	600000	33713.707840	8052.712600	34662.087019
2	700000	35919.181959	-6613.613966	36522.972528
2	800000	29888.238274	-28478.379251	41283.469717
2	900000	20094.829370	-26237.860864	33048.865489
2	1000000	13949.157913	-25809.644981	29337.975059
2	1100000	10724.136153	-19470.548142	22228.570380
2	1200000	10027.779228	-14061.750303	17271.050281
2	1300000	11345.860683	-11289.496930	16005.664484
2	1400000	13520.187521	-9497.546880	16522.677366
2	1500000	15227.065984	-9181.384668	17780.926941
2	1600000	16034.549456	-6349.915426	17246.106870
2	1700000	21155.884098	-3386.276367	21425.179103
2	1750000	26342.385695	-2941.163685	26506.069643
2	1800000	33309.971260	-5537.726107	33767.152616
2	1850000	40250.660467	-13043.617928	42311.365337
2	1900000	41188.778122	-25784.444188	48593.754797
2	2000000	21483.836819	-40907.351296	46205.699156
2	2100000	8517.710588	-36086.568206	37078.184941
2	2200000	4601.556531	-28714.426952	29080.794997
2	2300000	2671.216033	-25874.581049	26012.099868
10	500000	4890.763357	-65903.360421	66084.585805
10	600000	8624.451040	-43987.302984	44824.814328
10	700000	16819.257805	-31839.720336	36009.099186
10	800000	35169.381841	-25574.022109	43484.664262
10	900000	47188.469967	-40673.643185	62298.450605
10	1000000	32110.221906	-55763.985725	64348.181442
10	1100000	13979.418993	-49722.863751	51650.627634
10	1200000	7834.192676	-38304.279989	39097.217808
10	1300000	3786.196658	-31025.177138	31255.349967
10	1400000	4447.349068	-27705.276649	28059.958445
10	1500000	3896.172230	-24512.893329	24820.598248
10	1600000	4488.790697	-22071.087572	22522.924955
10	1700000	6181.891586	-20959.388354	21852.042096
10	1750000	6814.541459	-21015.636957	22092.871520
10	1800000	5735.080501	-21456.050679	22209.305687
10	1850000	5999.687739	-22404.410460	23193.832392
10	1900000	5490.113189	-23019.625459	23665.259329
10	2000000	2237.742694	-22032.275819	22145.624175
10	2100000	592.668932	-20789.002879	20797.449295
10	2200000	924.027492	-18466.837845	18489.941233
10	2300000	383.686164	-17965.454304	17969.551008
