# C_eff = -1/(2*pi*f*ImZ) when ImZ<0; NaN otherwise
# Sd	Freq_Hz	Im_Z	C_eff_F	C_eff_pF
0	500000.0	6219.569091	nan	nan
0	600000.0	8471.771560	nan	nan
0	700000.0	9726.765191	nan	nan
0	800000.0	8249.222230	nan	nan
0	900000.0	4852.949264	nan	nan
0	1000000.0	3799.487937	nan	nan
0	1100000.0	4025.530042	nan	nan
0	1200000.0	4980.653770	nan	nan
0	1300000.0	6146.821455	nan	nan
0	1400000.0	7343.052161	nan	nan
0	1500000.0	584.898398	nan	nan
0	1600000.0	10098.310888	nan	nan
0	1700000.0	10495.082744	nan	nan
0	1750000.0	9509.867227	nan	nan
0	1800000.0	6561.761574	nan	nan
0	1850000.0	-639.680931	1.344885e-10	134.488453
0	1900000.0	-14684.596061	5.704328e-12	5.704328
0	2000000.0	-54919.897299	1.448973e-12	1.448973
0	2100000.0	-55532.818470	1.364744e-12	1.364744
0	2200000.0	-41899.087248	1.726605e-12	1.726605
0	2300000.0	-36046.916826	1.919659e-12	1.919659
2	500000.0	-18429.786127	1.727149e-11	17.271491
2	600000.0	8052.712600	nan	nan
2	700000.0	-6613.613966	3.437821e-11	34.378209
2	800000.0	-28478.379251	6.985780e-12	6.985780
2	900000.0	-26237.860864	6.739834e-12	6.739834
2	1000000.0	-25809.644981	6.166491e-12	6.166491
2	1100000.0	-19470.548142	7.431034e-12	7.431034
2	1200000.0	-14061.750303	9.431907e-12	9.431907
2	1300000.0	-11289.496930	1.084432e-11	10.844317
2	1400000.0	-9497.546880	1.196963e-11	11.969628
2	1500000.0	-9181.384668	1.155635e-11	11.556350
2	1600000.0	-6349.915426	1.566507e-11	15.665065
2	1700000.0	-3386.276367	2.764705e-11	27.647051
2	1750000.0	-2941.163685	3.092167e-11	30.921666
2	1800000.0	-5537.726107	1.596674e-11	15.966736
2	1850000.0	-13043.617928	6.595540e-12	6.595540
2	1900000.0	-25784.444188	3.248694e-12	3.248694
2	2000000.0	-40907.351296	1.945310e-12	1.945310
2	2100000.0	-36086.568206	2.100174e-12	2.100174
2	2200000.0	-28714.426952	2.519401e-12	2.519401
2	2300000.0	-25874.581049	2.674354e-12	2.674354
10	500000.0	-65903.360421	4.829949e-12	4.829949
10	600000.0	-43987.302984	6.030336e-12	6.030336
10	700000.0	-31839.720336	7.140898e-12	7.140898
10	800000.0	-25574.022109	7.779131e-12	7.779131
10	900000.0	-40673.643185	4.347750e-12	4.347750
10	1000000.0	-55763.985725	2.854081e-12	2.854081
10	1100000.0	-49722.863751	2.909855e-12	2.909855
10	1200000.0	-38304.279989	3.462514e-12	3.462514
10	1300000.0	-31025.177138	3.946049e-12	3.946049
10	1400000.0	-27705.276649	4.103265e-12	4.103265
10	1500000.0	-24512.893329	4.328469e-12	4.328469
10	1600000.0	-22071.087572	4.506884e-12	4.506884
10	1700000.0	-20959.388354	4.466760e-12	4.466760
10	1750000.0	-21015.636957	4.327524e-12	4.327524
10	1800000.0	-21456.050679	4.120955e-12	4.120955
10	1850000.0	-22404.410460	3.839856e-12	3.839856
10	1900000.0	-23019.625459	3.638885e-12	3.638885
10	2000000.0	-22032.275819	3.611859e-12	3.611859
10	2100000.0	-20789.002879	3.645585e-12	3.645585
10	2200000.0	-18466.837845	3.917463e-12	3.917463
10	2300000.0	-17965.454304	3.851715e-12	3.851715
