# Sd	f_MHz	Im_Z
0	1.60	10098.310888
2	1.60	-6349.915426
4	1.60	-14125.035562
6	1.60	-18309.987224
8	1.60	-20610.035996
10	1.60	-22071.087572
0	1.70	10495.082744
2	1.70	-3386.276367
4	1.70	-11925.121537
6	1.70	-16555.189834
8	1.70	-19205.496589
10	1.70	-20959.388354
0	1.80	6561.761574
2	1.80	-5537.726107
4	1.80	-14523.173416
6	1.80	-18551.511284
8	1.80	-20510.692170
10	1.80	-21456.050679
0	2.00	-54919.897299
2	2.00	-40907.351296
4	2.00	-30828.280552
6	2.00	-26165.683929
8	2.00	-23583.816827
10	2.00	-22032.275819
0	2.10	-55532.818470
2	2.10	-36086.568206
4	2.10	-27961.067800
6	2.10	-24069.735553
8	2.10	-21994.765098
10	2.10	-20789.002879
0	2.20	-41899.087248
2	2.20	-28714.426952
4	2.20	-23235.756464
6	2.20	-20670.212558
8	2.20	-19279.482345
10	2.20	-18466.837845
